      Age   Thickness   Depth
         840        0.64    1826.90
         841        0.36    1827.26
         842        1.56    1828.82
         843        1.28    1830.10
         844        1.40    1831.50
         845        1.32    1832.82
         846        2.20    1835.02
         847        1.16    1836.18
         848        1.08    1837.26
         849        1.00    1838.26
         850        1.20    1839.46
         851        1.12    1840.58
         852        1.44    1842.02
         853        0.92    1842.94
         854        1.76    1844.70
         855        2.00    1846.70
         856        3.08    1849.78
         857        1.60    1851.38
         858        2.24    1853.62
         859        2.52    1856.14
         860        2.00    1858.14
         861        2.20    1860.34
         862        1.72    1862.06
         863        3.52    1865.58
         864        1.48    1867.06
         865        1.68    1868.74
         866        1.48    1870.22
         867        1.60    1871.82
         868        1.84    1873.66
         869        1.76    1875.42
         870        1.04    1876.46
         871        2.44    1878.90
         872        1.32    1880.22
         873        1.80    1882.02
         874        2.00    1884.02
         875        1.64    1885.66
         876        1.20    1886.86
         877        1.04    1887.90
         878        1.60    1889.50
         879        1.84    1891.34
         880        1.20    1892.54
         881        1.72    1894.26
         882        0.80    1895.06
         883        4.00    1899.06
         884        1.68    1900.74
         885        1.60    1902.34
         886        3.08    1905.42
         887        2.72    1908.14
         888        2.88    1911.02
         889        2.88    1913.90
         890        1.80    1915.70
         891        2.60    1918.30
         892        2.80    1921.10
         893        1.80    1922.90
         894        3.44    1926.34
         895        1.32    1927.66
         896        1.44    1929.10
         897        1.20    1930.30
         898        2.56    1932.86
         899        2.00    1934.86
         900        2.32    1937.18
         901        1.84    1939.02
         902        2.00    1941.02
         903        2.40    1943.42
         904        2.36    1945.78
         905        3.20    1948.98
         906        1.40    1950.38
         907        1.36    1951.74
         908        3.20    1954.94
         909        3.76    1958.70
         910        3.16    1961.86
         911        2.00    1963.86
         912        9.32    1973.18
         913        6.00    1979.18
         914        2.20    1981.38
         915        2.24    1983.62
         916        1.84    1985.46
         917        2.92    1988.38
         918        2.68    1991.06
         919        2.80    1993.86
         920        3.00    1996.86
         921        2.64    1999.50
         922        5.44    2004.94
         923        3.40    2008.34
         924        3.80    2012.14
         925        2.80    2014.94
         926        1.60    2016.54
         927        1.68    2018.22
         928        3.28    2021.50
         929        2.80    2024.30
         930        2.28    2026.58
         931        2.08    2028.66
         932        3.32    2031.98
         933        2.04    2034.02
         934        3.44    2037.46
         935        4.00    2041.46
         936        2.00    2043.46
         937        3.04    2046.50
         938        2.64    2049.14
         939        2.88    2052.02
         940        2.72    2054.74
         941        1.60    2056.34
         942        3.20    2059.54
         943        1.32    2060.86
         944        1.60    2062.46
         945        1.48    2063.94
         946        2.24    2066.18
         947        3.08    2069.26
         948        2.44    2071.70
         949        2.16    2073.86
         950        3.56    2077.42
         951        2.04    2079.46
         952        2.72    2082.18
         953        4.12    2086.30
         954        3.08    2089.38
         955        3.20    2092.58
         956        2.68    2095.26
         957        1.84    2097.10
         958        2.20    2099.30
         959        1.84    2101.14
         960        2.76    2103.90
         961        2.40    2106.30
         962        4.72    2111.02
         963        1.56    2112.58
         964        1.76    2114.34
         965        3.00    2117.34
         966        2.80    2120.14
         967        1.70    2121.84
         968        3.68    2125.52
         969        2.48    2128.00
         970        2.36    2130.36
         971        2.92    2133.28
         972        2.80    2136.08
         973        1.44    2137.52
         974        1.40    2138.92
         975        3.20    2142.12
         976        2.24    2144.36
         977        2.56    2146.92
         978        2.00    2148.92
         979        2.12    2151.04
         980        1.92    2152.96
         981        2.68    2155.64
         982        1.80    2157.44
         983        1.20    2158.64
         984        2.08    2160.72
         985        0.84    2161.56
         986        0.84    2162.40
         987        1.76    2164.16
         988        2.64    2166.80
         989        2.72    2169.52
         990        1.32    2170.84
         991        2.52    2173.36
         992        2.68    2176.04
         993        2.80    2178.84
         994        1.60    2180.44
         995        1.60    2182.04
         996        1.28    2183.32
         997        1.44    2184.76
         998        1.52    2186.28
         999        1.20    2187.48
        1000        3.00    2190.48
        1001        1.64    2192.12
        1002        3.20    2195.32
        1003        0.92    2196.24
        1004        1.64    2197.88
        1005        1.76    2199.64
        1006        1.00    2200.64
        1007        1.28    2201.92
        1008        1.90    2203.82
        1009        1.32    2205.14
        1010        1.28    2206.42
        1011        1.52    2207.94
        1012        2.24    2210.18
        1013        1.80    2211.98
        1014        1.60    2213.58
        1015        2.24    2215.82
        1016        2.20    2218.02
        1017        3.04    2221.06
        1018        3.44    2224.50
        1019        1.52    2226.02
        1020        1.48    2227.50
        1021        3.68    2231.18
        1022        1.56    2232.74
        1023        2.40    2235.14
        1024        3.48    2238.62
        1025        3.56    2242.18
        1026        1.96    2244.14
        1027        2.48    2246.62
        1028        2.44    2249.06
        1029        2.60    2251.66
        1030        1.48    2253.14
        1031        1.72    2254.86
        1032        2.04    2256.90
        1033        2.00    2258.90
        1034        2.28    2261.18
        1035        2.00    2263.18
        1036        2.72    2265.90
        1037        2.08    2267.98
        1038        2.72    2270.70
        1039        2.28    2272.98
        1040        2.48    2275.46
        1041        2.72    2278.18
        1042        1.96    2280.14
        1043        2.20    2282.34
        1044        3.92    2286.26
        1045        2.60    2288.86
        1046        2.28    2291.14
        1047        3.12    2294.26
        1048        1.48    2295.74
        1049        2.68    2298.42
        1050        1.60    2300.02
        1051        1.32    2301.34
        1052        1.08    2302.42
        1053        0.84    2303.26
        1054        2.00    2305.26
        1055        1.28    2306.54
        1056        1.64    2308.18
        1057        2.20    2310.38
        1058        1.08    2311.46
        1059        2.32    2313.78
        1060        3.20    2316.98
        1061        1.32    2318.30
        1062        3.60    2321.90
        1063        2.00    2323.90
        1064        1.60    2325.50
        1065        1.64    2327.14
        1066        3.04    2330.18
        1067        2.04    2332.22
        1068        1.40    2333.62
        1069        1.52    2335.14
        1070        1.20    2336.34
        1071        1.56    2337.90
        1072        1.28    2339.18
        1073        1.88    2341.06
        1074        1.40    2342.46
        1075        2.84    2345.30
        1076        2.12    2347.42
        1077        1.28    2348.70
        1078        1.56    2350.26
        1079        1.32    2351.58
        1080        2.28    2353.86
        1081        1.64    2355.50
        1082        1.32    2356.82
        1083        1.48    2358.30
        1084        1.60    2359.90
        1085        1.28    2361.18
        1086        2.60    2363.78
        1087        0.88    2364.66
        1088        1.88    2366.54
        1089        2.80    2369.34
        1090        3.52    2372.86
        1091        2.00    2374.86
        1092        2.20    2377.06
        1093        2.60    2379.66
        1094        1.80    2381.46
        1095        1.80    2383.26
        1096        2.28    2385.54
        1097        3.20    2388.74
        1098        3.40    2392.14
        1099        1.60    2393.74
        1100        2.44    2396.18
        1101        2.44    2398.62
        1102        5.60    2404.22
        1103        2.76    2406.98
        1104        1.88    2408.86
        1105        1.80    2410.66
        1106        1.68    2412.34
        1107        2.12    2414.46
        1108        1.52    2415.98
        1109        1.12    2417.10
        1110        1.48    2418.58
        1111        1.52    2420.10
        1112        3.00    2423.10
        1113        1.80    2424.90
        1114        2.68    2427.58
        1115        2.52    2430.10
        1116        3.08    2433.18
        1117        2.20    2435.38
        1118        3.12    2438.50
        1119        1.72    2440.22
        1120        2.48    2442.70
        1121        1.88    2444.58
        1122        1.04    2445.62
        1123        2.00    2447.62
        1124        1.16    2448.78
        1125        2.44    2451.22
        1126        2.24    2453.46
        1127        1.20    2454.66
        1128        1.24    2455.90
        1129        1.80    2457.70
        1130        2.60    2460.30
        1131        2.00    2462.30
