Depth	Age	Sample number	TOC 	 d13C
180	687	HZM 974	2,4	-27,72
181	688	HZM 973	-9999	-28,8
182	691	HZM 972	-9999	-28,92
183	694	HZM 971	-9999	-28,19
184	699	HZM 970	2,6	-27,6
185	704	HZM 969	-9999	-28,53
186	707	HZM 968	-9999	-28,74
187	713	HZM 967	-9999	-29,01
188	720	HZM 966	4,1	-29,28
189	730	HZM 965	-9999	-29,29
190	736	HZM 964	-9999	-29,22
191	741	HZM 963	-9999	-28,83
192	747	HZM 962	3,6	-28,65
193	754	HZM 961	-9999	-28,86
194	758	HZM 960	-9999	-28,83
195	763	HZM 959	-9999	-28,82
196	770	HZM 958	3,8	-28,47
197	776	HZM 957	-9999	-28,1
198	784	HZM 956	-9999	-28,79
199	789	HZM 955	-9999	-28,67
